measurement_date,upstream_water_level,downstream_water_level,inflow_rate,outflow_rate
'2012 Sep 20',166.32,67.80,21500.00,22600.00
'2012 Sep 21',166.52,66.94,19000.00,19700.00
'2012 Sep 22',166.75,65.04,19500.00,19400.00
'2012 Sep 23',166.84,65.66,19000.00,19500.00
'2012 Sep 24',166.91,65.08,19000.00,19400.00
'2012 Sep 25',167.03,65.08,19000.00,19100.00
'2012 Sep 26',167.08,65.08,18500.00,19100.00
'2012 Sep 27',167.32,65.14,18000.00,17000.00
'2012 Sep 28',167.75,65.06,19000.00,15100.00
'2012 Sep 29',168.48,64.94,20300.00,13600.00
'2012 Sep 30',169.18,65.32,19200.00,13800.00
'2012 Oct 01',169.79,65.14,19700.00,13700.00
'2012 Oct 02',170.56,65.18,20700.00,13700.00
'2012 Oct 03',171.38,64.98,22700.00,13600.00
'2012 Oct 04',171.97,65.37,22700.00,17000.00
'2012 Oct 05',172.31,65.58,21500.00,18300.00
'2012 Oct 06',172.66,65.30,22000.00,18800.00
'2012 Oct 07',172.94,65.30,23200.00,19800.00
'2012 Oct 08',173.36,64.95,22800.00,19700.00
'2012 Oct 09',173.48,67.48,22500.00,21400.00
'2012 Oct 10',173.51,67.44,21600.00,21400.00
'2012 Oct 11',173.50,67.48,20500.00,21400.00
'2012 Oct 12',173.37,66.28,14500.00,19900.00
'2012 Oct 13',173.20,65.96,14600.00,18200.00
'2012 Oct 14',172.85,65.38,14000.00,18200.00
'2012 Oct 15',172.50,65.42,14200.00,18200.00
'2012 Oct 16',172.67,65.06,14500.00,14200.00
'2012 Oct 17',172.39,65.32,14500.00,15500.00
'2012 Oct 18',172.55,65.34,17200.00,15500.00
'2012 Oct 19',173.00,65.10,16500.00,13500.00
'2012 Oct 20',173.24,65.12,14900.00,13500.00
'2012 Oct 21',173.43,65.12,14000.00,13400.00
'2012 Oct 22',173.48,64.88,13600.00,14100.00
'2012 Oct 23',173.66,64.72,13200.00,12000.00
'2012 Oct 24',173.94,65.18,12800.00,11200.00
'2012 Oct 25',174.03,65.16,11800.00,11200.00
'2012 Oct 26',174.16,65.08,11600.00,11200.00
'2012 Oct 27',174.41,64.96,11800.00,8620.00
'2012 Oct 28',174.80,64.95,11100.00,6600.00
'2012 Oct 29',174.82,65.15,11100.00,8590.00
'2012 Oct 30',174.87,66.18,10400.00,12900.00
'2012 Oct 31',174.72,65.66,10100.00,12900.00
'2012 Nov 01',174.49,65.10,9500.00,12800.00
'2012 Nov 02',174.30,65.36,9800.00,12900.00
'2012 Nov 03',174.35,65.06,9100.00,10100.00
'2012 Nov 04',174.35,65.26,9300.00,10200.00
'2012 Nov 05',174.23,65.32,8500.00,10600.00
'2012 Nov 06',174.21,65.10,8600.00,10900.00
'2012 Nov 07',174.27,65.06,9100.00,10200.00
'2012 Nov 08',174.31,65.33,9800.00,10500.00
'2012 Nov 09',174.33,65.60,9600.00,11200.00
'2012 Nov 10',174.34,65.47,9500.00,11200.00
'2012 Nov 11',174.29,65.02,9300.00,11200.00
'2012 Nov 12',174.25,64.94,8500.00,11200.00
'2012 Nov 13',174.13,65.11,8400.00,10500.00
'2012 Nov 14',174.07,65.04,8100.00,9880.00
'2012 Nov 15',174.05,63.92,8000.00,9100.00
'2012 Nov 16',174.12,64.45,7200.00,7740.00
'2012 Nov 17',174.12,64.93,6500.00,7050.00
'2012 Nov 18',174.08,64.89,5600.00,7040.00
'2012 Nov 19',173.98,65.24,5200.00,7070.00
'2012 Nov 20',173.94,65.84,5100.00,6300.00
'2012 Nov 21',173.88,65.35,5500.00,6350.00
'2012 Nov 22',173.94,65.49,5900.00,6240.00
'2012 Nov 23',,,,
'2012 Nov 24',,,,
'2012 Nov 25',,,,
'2012 Nov 26',,,,
'2012 Nov 27',,,,
'2012 Nov 28',,,,
'2012 Nov 29',,,,
'2012 Nov 30',,,,
'2012 Dec 01',174.07,65.55,5800.00,6220.00
'2012 Dec 02',174.06,65.21,5700.00,6230.00
'2012 Dec 03',174.06,65.21,5700.00,6210.00
'2012 Dec 04',174.08,65.52,5700.00,6210.00
'2012 Dec 05',174.14,65.78,5800.00,6230.00
'2012 Dec 06',174.21,65.90,5800.00,6230.00
'2012 Dec 07',174.16,66.04,5400.00,6240.00
'2012 Dec 08',174.10,65.14,5400.00,6210.00
'2012 Dec 09',174.02,65.30,5200.00,6200.00
'2012 Dec 10',174.02,65.30,5200.00,6200.00
'2012 Dec 11',173.98,64.96,5400.00,6190.00
'2012 Dec 12',173.93,64.91,5500.00,6190.00
'2012 Dec 13',174.03,65.01,5600.00,6100.00
'2012 Dec 14',174.02,65.20,5700.00,6200.00
'2012 Dec 15',174.04,65.29,6000.00,6210.00
'2012 Dec 16',174.04,65.35,6000.00,6220.00
'2012 Dec 17',174.08,65.24,6100.00,6210.00
'2012 Dec 18',174.16,65.06,6500.00,6190.00
'2012 Dec 19',174.21,64.96,6000.00,6190.00
'2012 Dec 20',174.31,64.94,6300.00,6180.00
'2012 Dec 21',174.39,64.74,6400.00,6160.00
'2012 Dec 22',174.42,64.59,6300.00,6150.00
'2012 Dec 23',174.51,64.55,6100.00,6140.00
'2012 Dec 24',174.46,65.59,6000.00,6210.00
'2012 Dec 25',174.26,64.70,6200.00,5800.00
'2012 Dec 26',174.17,64.61,6200.00,8350.00
'2012 Dec 27',174.11,64.64,6200.00,8360.00
'2012 Dec 28',173.99,64.61,6300.00,8370.00
'2012 Dec 29',173.91,64.68,6100.00,8370.00
'2012 Dec 30',173.78,64.69,6000.00,8370.00
'2012 Dec 31',173.61,64.89,5800.00,8390.00
'2013 Jan 01',173.48,65.38,5700.00,7380.00
'2013 Jan 02',173.35,64.70,5500.00,7360.00
'2013 Jan 03',173.29,64.83,5600.00,7360.00
'2013 Jan 04',173.28,64.83,5700.00,7360.00
'2013 Jan 05',173.25,65.17,5600.00,7390.00
'2013 Jan 06',173.21,65.15,5600.00,7390.00
'2013 Jan 07',173.17,64.83,5500.00,7370.00
'2013 Jan 08',174.06,65.00,5500.00,7380.00
'2013 Jan 09',172.90,65.40,5000.00,7380.00
'2013 Jan 10',172.78,65.34,5200.00,7440.00
'2013 Jan 11',172.69,65.56,5200.00,7440.00
'2013 Jan 12',172.61,65.14,5200.00,7430.00
'2013 Jan 13',172.53,65.24,5400.00,7430.00
'2013 Jan 14',172.45,65.11,5600.00,7420.00
'2013 Jan 15',172.38,65.27,5500.00,7440.00
'2013 Jan 16',172.30,65.18,5300.00,7440.00
'2013 Jan 17',172.18,65.30,5300.00,7450.00
'2013 Jan 18',172.17,65.00,5500.00,7430.00
'2013 Jan 19',172.08,65.08,5500.00,7430.00
'2013 Jan 20',172.03,64.95,5300.00,7430.00
'2013 Jan 21',171.91,64.82,4900.00,7440.00
'2013 Jan 22',171.81,65.06,4900.00,7460.00
'2013 Jan 23',171.73,65.31,4500.00,7470.00
'2013 Jan 24',171.61,65.46,4900.00,7480.00
'2013 Jan 25',171.53,65.55,4900.00,7520.00
'2013 Jan 26',171.39,65.54,4900.00,7520.00
'2013 Jan 27',171.22,65.42,4700.00,7520.00
'2013 Jan 28',171.12,65.18,4600.00,7510.00
'2013 Jan 29',170.87,65.27,4300.00,7520.00
'2013 Jan 30',170.70,65.48,3900.00,7550.00
'2013 Jan 31',170.51,65.53,4000.00,7580.00
'2013 Feb 01',170.27,65.12,4000.00,7770.00
'2013 Feb 02',170.09,64.94,4100.00,7720.00
'2013 Feb 03',169.99,65.12,4000.00,7560.00
'2013 Feb 04',169.72,65.33,4100.00,7600.00
'2013 Feb 05',169.54,65.88,4000.00,7650.00
'2013 Feb 06',169.34,65.34,3900.00,7630.00
'2013 Feb 07',169.08,65.36,3800.00,7650.00
'2013 Feb 08',168.96,65.38,3900.00,7670.00
'2013 Feb 09',168.96,65.38,3900.00,7670.00
'2013 Feb 10',168.59,65.50,3900.00,7670.00
'2013 Feb 11',168.39,65.12,4000.00,8210.00
'2013 Feb 12',168.18,65.13,4000.00,8240.00
'2013 Feb 13',167.97,65.54,4000.00,8280.00
'2013 Feb 14',167.80,65.54,3900.00,7740.00
'2013 Feb 15',167.60,65.44,3900.00,7760.00
'2013 Feb 16',167.35,65.40,3800.00,7760.00
'2013 Feb 17',167.12,65.10,3800.00,7260.00
'2013 Feb 18',166.91,65.05,3900.00,7270.00
'2013 Feb 19',166.77,65.28,3900.00,7300.00
'2013 Feb 20',166.59,65.27,4000.00,7320.00
'2013 Feb 21',166.46,65.22,4100.00,7350.00
'2013 Feb 22',166.29,65.36,4200.00,7340.00
'2013 Feb 23',166.12,65.29,4200.00,7350.00
'2013 Feb 24',165.93,65.12,4400.00,7360.00
'2013 Feb 25',165.79,65.22,4400.00,7360.00
'2013 Feb 26',165.61,65.21,4400.00,7390.00
'2013 Feb 27',165.44,65.18,4400.00,7330.00
'2013 Feb 28',165.32,65.38,4700.00,7370.00
'2013 Mar 01',165.13,65.08,5000.00,6640.00
'2013 Mar 02',165.16,65.12,4700.00,6690.00
'2013 Mar 03',165.08,65.19,4700.00,6700.00
'2013 Mar 04',169.93,65.23,4800.00,6690.00
'2013 Mar 05',164.80,65.32,4700.00,6730.00
'2013 Mar 06',164.70,65.12,4700.00,6720.00
'2013 Mar 07',164.60,65.18,5100.00,6730.00
'2013 Mar 08',164.50,65.32,5000.00,6750.00
'2013 Mar 09',164.37,65.18,5100.00,6750.00
'2013 Mar 10',164.22,64.91,5100.00,6740.00
'2013 Mar 11',164.13,65.04,4900.00,6750.00
'2013 Mar 12',164.09,65.37,5000.00,6760.00
'2013 Mar 13',163.93,65.26,5000.00,6770.00
'2013 Mar 14',163.83,65.05,4900.00,6750.00
'2013 Mar 15',163.73,65.01,4900.00,6750.00
'2013 Mar 16',163.60,65.56,5000.00,6810.00
'2013 Mar 17',163.57,66.23,5100.00,6860.00
'2013 Mar 18',163.50,65.60,5100.00,6830.00
'2013 Mar 19',163.39,64.99,5200.00,5490.00
'2013 Mar 20',163.03,64.98,5100.00,8090.00
'2013 Mar 21',162.99,65.53,5100.00,6850.00
'2013 Mar 22',162.88,65.36,5200.00,6820.00
'2013 Mar 23',162.84,65.17,5100.00,6710.00
'2013 Mar 24',162.68,65.17,5000.00,6770.00
'2013 Mar 25',162.53,65.34,4800.00,6740.00
'2013 Mar 26',162.52,65.44,4800.00,6740.00
'2013 Mar 27',162.40,65.31,5000.00,6760.00
'2013 Mar 28',162.28,64.99,5000.00,6720.00
'2013 Mar 29',162.13,64.85,4900.00,6720.00
'2013 Mar 30',161.59,65.23,4800.00,6720.00
'2013 Mar 31',161.79,65.22,4700.00,6730.00
'2013 Apr 01',161.70,65.16,4800.00,6730.00
'2013 Apr 02',161.60,65.13,5000.00,6730.00
'2013 Apr 03',161.46,65.12,5010.00,6730.00
'2013 Apr 04',161.39,65.15,5100.00,6690.00
'2013 Apr 05',161.34,65.16,5700.00,6690.00
'2013 Apr 06',161.35,65.22,6800.00,6710.00
'2013 Apr 07',161.60,65.13,5000.00,6730.00
'2013 Apr 08',161.46,65.12,5010.00,6730.00
'2013 Apr 09',161.39,65.15,5100.00,6690.00
'2013 Apr 10',162.03,64.92,7000.00,6640.00
'2013 Apr 11',162.29,65.17,8600.00,6950.00
'2013 Apr 12',162.57,65.16,8200.00,6930.00
'2013 Apr 13',162.79,65.37,8500.00,7720.00
'2013 Apr 14',163.00,65.46,8500.00,7700.00
'2013 Apr 15',163.17,65.46,8000.00,7690.00
'2013 Apr 16',163.65,65.60,7200.00,7690.00
'2013 Apr 17',163.19,65.57,6600.00,8920.00
'2013 Apr 18',163.05,64.92,7000.00,8880.00
'2013 Apr 19',163.14,64.82,7000.00,7320.00
'2013 Apr 20',162.95,65.16,5700.00,9250.00
'2013 Apr 21',162.63,64.97,5400.00,9250.00
'2013 Apr 22',162.24,65.18,5200.00,9890.00
'2013 Apr 23',161.88,65.47,5200.00,9950.00
'2013 Apr 24',161.54,65.12,5300.00,9960.00
'2013 Apr 25',161.18,65.53,5300.00,10000.00
'2013 Apr 26',160.85,65.12,5600.00,8620.00
'2013 Apr 27',160.57,65.15,5200.00,8620.00
'2013 Apr 28',160.23,65.41,4600.00,8650.00
'2013 Apr 29',160.12,65.53,7000.00,6990.00
'2013 Apr 30',160.26,65.19,5800.00,6950.00
'2013 May 01',160.19,64.95,5600.00,6940.00
'2013 May 02',160.09,65.09,5000.00,6960.00
'2013 May 03',159.95,64.85,5200.00,6950.00
'2013 May 04',159.91,65.24,5800.00,7010.00
'2013 May 05',159.19,65.18,6100.00,6990.00
'2013 May 06',159.90,65.27,7900.00,6990.00
'2013 May 07',160.05,65.21,7800.00,7570.00
'2013 May 08',160.10,65.14,8000.00,8340.00
'2013 May 09',160.20,65.02,9200.00,9080.00
'2013 May 10',160.15,65.19,9000.00,10100.00
'2013 May 11',160.13,65.76,11000.00,11300.00
'2013 May 12',160.13,65.45,12000.00,12100.00
'2013 May 13',159.83,65.68,10000.00,14000.00
'2013 May 14',159.17,65.10,10000.00,16200.00
'2013 May 15',158.57,64.51,12000.00,16600.00
'2013 May 16',157.90,64.64,10300.00,16800.00
'2013 May 17',157.22,65.20,10500.00,16900.00
'2013 May 18',156.65,65.05,12000.00,16700.00
'2013 May 19',156.14,65.74,11200.00,17000.00
'2013 May 20',155.50,65.33,10800.00,17000.00
'2013 May 21',154.87,65.51,10500.00,16600.00
'2013 May 22',154.31,65.57,10000.00,15200.00
'2013 May 23',153.71,65.70,9000.00,14800.00
'2013 May 24',153.10,65.56,9200.00,14600.00
'2013 May 25',153.22,64.62,16800.00,13900.00
'2013 May 26',153.48,65.18,13200.00,18800.00
'2013 May 27',152.72,65.11,11200.00,18200.00
'2013 May 28',,,,
'2013 May 29',151.56,65.29,15500.00,18700.00
'2013 May 30',151.52,65.22,16000.00,17600.00
'2013 May 31',150.79,64.82,17000.00,18800.00
'2013 Jun 01',150.35,64.97,13800.00,16500.00
'2013 Jun 02',149.80,65.56,11500.00,17800.00
'2013 Jun 03',149.34,64.76,10700.00,14900.00
'2013 Jun 04',148.81,65.49,10800.00,14600.00
'2013 Jun 05',148.21,65.18,10500.00,14200.00
'2013 Jun 06',147.62,65.00,13500.00,14800.00
'2013 Jun 07',147.33,64.75,14800.00,18100.00
'2013 Jun 08',146.70,65.22,14400.00,17700.00
'2013 Jun 09',146.32,64.89,17500.00,18600.00
'2013 Jun 10',146.59,66.55,27000.00,21600.00
'2013 Jun 11',146.29,67.75,21000.00,25100.00
'2013 Jun 12',146.29,67.75,21000.00,25100.00
'2013 Jun 13',145.90,67.11,17500.00,22200.00
'2013 Jun 14',145.97,65.05,16000.00,18300.00
'2013 Jun 15',145.92,64.48,14500.00,16100.00
'2013 Jun 16',145.92,65.67,13000.00,15500.00
'2013 Jun 17',145.66,65.53,12200.00,15500.00
'2013 Jun 18',145.39,64.60,12000.00,14200.00
'2013 Jun 19',145.22,64.83,11500.00,13600.00
'2013 Jun 20',145.13,,10500.00,10500.00
'2013 Jun 21',145.04,,10500.00,10600.00
'2013 Jun 22',145.12,64.67,13300.00,11200.00
'2013 Jun 23',145.59,65.47,22000.00,17900.00
'2013 Jun 24',146.14,66.09,24000.00,17600.00
'2013 Jun 25',145.82,67.62,21000.00,23900.00
'2013 Jun 26',145.08,67.55,19300.00,24400.00
'2013 Jun 27',145.33,66.85,18000.00,20600.00
'2013 Jun 28',145.39,65.02,16000.00,19400.00
'2013 Jun 29',145.44,64.89,14200.00,16100.00
'2013 Jun 30',145.48,65.04,13000.00,15800.00
'2013 Jul 01',145.13,65.04,2000.00,17100.00
'2013 Jul 02',145.63,67.13,37000.00,24700.00
'2013 Jul 03',147.53,67.41,35000.00,24700.00
'2013 Jul 04',148.36,68.20,31000.00,28900.00
'2013 Jul 05',148.32,68.43,27500.00,30600.00
'2013 Jul 06',147.66,68.64,32500.00,31600.00
'2013 Jul 07',148.20,68.45,33000.00,30900.00
'2013 Jul 08',148.30,68.70,25000.00,32300.00
'2013 Jul 09',148.35,67.82,22500.00,27000.00
'2013 Jul 10',145.97,68.55,26000.00,30800.00
'2013 Jul 11',145.74,68.37,34000.00,30200.00
'2013 Jul 12',146.40,68.65,39500.00,31500.00
'2013 Jul 13',147.25,68.38,40500.00,29800.00
'2013 Jul 14',150.15,67.99,34000.00,27600.00
'2013 Jul 15',151.10,68.61,29000.00,31000.00
'2013 Jul 16',145.74,68.37,34000.00,30200.00
'2013 Jul 17',149.57,68.58,23800.00,31600.00
'2013 Jul 18',147.24,68.73,26700.00,32600.00
'2013 Jul 19',147.37,68.99,38000.00,33600.00
'2013 Jul 20',147.97,68.79,47000.00,34300.00
'2013 Jul 21',150.28,68.52,48000.00,33400.00
'2013 Jul 22',152.21,68.99,43000.00,34700.00
'2013 Jul 23',153.19,69.43,35800.00,34000.00
'2013 Jul 24',153.54,69.07,40500.00,34300.00
'2013 Jul 25',154.95,68.68,36000.00,29500.00
'2013 Jul 26',155.57,68.64,27000.00,29100.00
'2013 Jul 27',155.92,68.57,26000.00,26100.00
'2013 Jul 28',155.74,68.48,25000.00,26200.00
'2013 Jul 29',155.67,68.21,26000.00,25000.00
'2013 Jul 30',154.85,68.64,26500.00,29500.00
'2013 Jul 31',154.63,68.65,27500.00,29700.00
'2013 Aug 01',154.61,68.29,25200.00,27700.00
'2013 Aug 02',154.84,68.59,24500.00,30600.00
'2013 Aug 03',153.37,68.57,27000.00,29800.00
'2013 Aug 04',152.90,68.77,24500.00,30000.00
'2013 Aug 05',152.25,68.52,21200.00,29300.00
'2013 Aug 06',151.38,68.50,20000.00,27900.00
'2013 Aug 07',149.91,68.86,18000.00,30900.00
'2013 Aug 08',148.55,68.73,17800.00,30200.00
'2013 Aug 09',146.99,68.89,25500.00,31400.00
'2013 Aug 10',147.67,67.79,29000.00,24200.00
'2013 Aug 11',148.49,67.79,25800.00,24200.00
'2013 Aug 12',148.30,68.22,19000.00,26900.00
'2013 Aug 13',147.97,67.48,19200.00,22800.00
'2013 Aug 14',147.65,67.51,22000.00,23100.00
'2013 Aug 15',147.64,67.53,20200.00,23100.00
'2013 Aug 16',147.40,67.59,19500.00,23200.00
'2013 Aug 17',148.16,65.38,17000.00,17800.00
'2013 Aug 18',148.22,65.22,16600.00,17700.00
'2013 Aug 19',148.54,64.94,18400.00,16700.00
'2013 Aug 20',148.62,65.24,16200.00,19300.00
'2013 Aug 21',148.49,65.21,15000.00,18200.00
'2013 Aug 22',148.22,65.55,14500.00,18300.00
'2013 Aug 23',147.78,65.30,13300.00,18500.00
'2013 Aug 24',147.83,65.21,12700.00,14800.00
'2013 Aug 25',147.66,,12500.00,19400.00
'2013 Aug 26',147.41,,12000.00,15100.00
'2013 Aug 27',147.50,,17200.00,13200.00
'2013 Aug 28',148.33,,16500.00,12800.00
'2013 Aug 29',148.99,,14700.00,12500.00
'2013 Aug 30',149.31,,15500.00,12600.00
'2013 Aug 31',149.90,,16000.00,12500.00
'2013 Sep 01',150.30,65.19,14500.00,12400.00
'2013 Sep 02',150.60,64.77,15000.00,12300.00
'2013 Sep 03',151.02,64.52,14500.00,12200.00
'2013 Sep 04',151.25,65.79,14200.00,12300.00
'2013 Sep 05',151.67,65.42,17200.00,12200.00
'2013 Sep 06',152.67,65.60,21500.00,12100.00
'2013 Sep 07',154.09,65.39,20500.00,11000.00
'2013 Sep 08',155.28,65.03,17000.00,10800.00
'2013 Sep 09',156.42,64.82,21500.00,10700.00
'2013 Sep 10',157.67,65.85,21500.00,11900.00
'2013 Sep 11',158.63,65.75,20000.00,12300.00
'2013 Sep 12',159.82,65.58,22800.00,12200.00
'2013 Sep 13',161.51,65.19,26000.00,12400.00
'2013 Sep 14',162.77,65.35,24000.00,16200.00
'2013 Sep 15',163.66,64.89,20800.00,16000.00
'2013 Sep 16',164.24,64.83,20500.00,17000.00
'2013 Sep 17',164.58,64.90,19500.00,17300.00
'2013 Sep 18',165.77,64.86,18800.00,17400.00
'2013 Sep 19',164.94,64.96,19300.00,17700.00
'2013 Sep 20',165.13,64.96,21000.00,17700.00
'2013 Sep 21',165.78,64.83,24500.00,17500.00
'2013 Sep 22',166.33,64.79,20800.00,17500.00
'2013 Sep 23',166.42,,18800.00,17700.00
'2013 Sep 24',166.35,,14500.00,17800.00
'2013 Sep 25',166.13,,16000.00,17900.00
'2013 Sep 26',166.23,,15700.00,15900.00
'2013 Sep 27',166.41,,14500.00,13700.00
'2013 Sep 28',166.60,,14000.00,14200.00
'2013 Sep 29',166.76,,15700.00,14200.00
'2013 Sep 30',166.93,,13800.00,13800.00
'2013 Oct 01',167.18,65.23,13500.00,12200.00
'2013 Oct 02',167.36,65.16,13000.00,12000.00
'2013 Oct 03',167.53,65.04,12300.00,12100.00
'2013 Oct 04',167.62,65.18,11000.00,10900.00
'2013 Oct 05',167.76,65.21,11000.00,10900.00
'2013 Oct 06',167.86,65.14,11000.00,10900.00
'2013 Oct 07',168.09,65.26,11600.00,10900.00
'2013 Oct 08',168.33,65.78,11300.00,8170.00
'2013 Oct 09',168.99,65.03,10500.00,8890.00
'2013 Oct 10',168.96,65.26,11000.00,7780.00
'2013 Oct 11',169.34,65.63,11000.00,7780.00
'2013 Oct 12',169.72,65.73,10500.00,7760.00
'2013 Oct 13',170.70,65.48,10500.00,7760.00
'2013 Oct 14',170.38,65.53,10600.00,7790.00
'2013 Oct 15',170.70,65.50,10000.00,7770.00
'2013 Oct 16',170.93,65.44,10000.00,7740.00
'2013 Oct 17',171.20,65.29,9800.00,7710.00
'2013 Oct 18',171.53,65.17,10200.00,7690.00
'2013 Oct 19',171.78,65.63,9600.00,7690.00
'2013 Oct 20',171.98,65.28,10300.00,7710.00
'2013 Oct 21',172.26,64.95,10000.00,7660.00
'2013 Oct 22',172.51,65.46,9500.00,7680.00
'2013 Oct 23',172.68,65.20,9500.00,7330.00
'2013 Oct 24',172.90,65.52,8200.00,7710.00
'2013 Oct 25',172.93,65.72,8800.00,7720.00
'2013 Oct 26',173.11,65.74,9000.00,7710.00
'2013 Oct 27',173.35,65.56,9200.00,7680.00
'2013 Oct 28',173.57,65.54,9400.00,7720.00
'2013 Oct 29',173.67,65.51,9000.00,7700.00
'2013 Oct 30',173.72,65.78,8200.00,8690.00
'2013 Oct 31',173.84,65.24,8200.00,7680.00
'2013 Nov 01',173.95,65.23,8200.00,7660.00
'2013 Nov 02',174.02,65.16,8500.00,7670.00
'2013 Nov 03',174.12,65.05,7500.00,7650.00
'2013 Nov 04',174.16,64.84,7500.00,7630.00
'2013 Nov 05',174.26,64.94,7400.00,7010.00
'2013 Nov 06',174.38,65.11,7400.00,6350.00
'2013 Nov 07',174.51,65.21,7400.00,6350.00
'2013 Nov 08',174.62,65.03,7400.00,6340.00
'2013 Nov 09',174.78,65.06,7400.00,6330.00
'2013 Nov 10',174.85,65.42,7500.00,6340.00
'2013 Nov 11',174.92,65.27,7600.00,8430.00
'2013 Nov 12',174.97,65.10,7400.00,8420.00
'2013 Nov 13',174.98,64.87,7400.00,8400.00
'2013 Nov 14',174.90,64.60,7200.00,8390.00
'2013 Nov 15',174.81,64.68,7200.00,8400.00
'2013 Nov 16',174.82,64.65,7200.00,7710.00
'2013 Nov 17',174.68,64.74,7100.00,7710.00
'2013 Nov 18',174.57,64.84,6500.00,7730.00
'2013 Nov 19',174.57,65.04,6400.00,6620.00
'2013 Nov 20',174.62,64.81,6400.00,6150.00
'2013 Nov 21',174.59,65.01,6200.00,6160.00
'2013 Nov 22',174.56,65.03,6100.00,6510.00
'2013 Nov 23',174.63,65.03,6200.00,5840.00
'2013 Nov 24',174.24,64.91,6200.00,5820.00
'2013 Nov 25',174.73,64.85,6200.00,6010.00
'2013 Nov 26',174.68,64.80,6200.00,6310.00
'2013 Nov 27',174.63,64.71,6000.00,6660.00
'2013 Nov 28',174.59,65.11,6000.00,7380.00
'2013 Nov 29',174.55,65.30,5900.00,7040.00
'2013 Nov 30',174.62,65.09,5900.00,5310.00
'2013 Dec 01',174.56,64.34,5800.00,6080.00
'2013 Dec 02',174.53,64.83,5600.00,6410.00
'2013 Dec 03',174.49,64.99,5600.00,6070.00
'2013 Dec 04',174.41,65.18,5700.00,6080.00
'2013 Dec 05',174.45,65.30,5600.00,6090.00
'2013 Dec 06',174.39,65.35,5200.00,6050.00
'2013 Dec 07',174.34,65.54,5200.00,5930.00
'2013 Dec 08',174.34,65.47,5200.00,5930.00
'2013 Dec 09',174.26,65.37,5100.00,5940.00
'2013 Dec 10',174.19,65.32,5100.00,5940.00
'2013 Dec 11',174.10,65.38,5300.00,6920.00
'2013 Dec 12',174.03,65.29,5300.00,6910.00
'2013 Dec 13',173.97,65.07,5350.00,6890.00
'2013 Dec 14',173.97,65.09,5350.00,5940.00
'2013 Dec 15',173.91,65.21,5450.00,5950.00
'2013 Dec 16',173.91,65.05,5400.00,5330.00
'2013 Dec 17',173.50,65.05,5450.00,5870.00
'2013 Dec 18',173.80,65.38,5450.00,5870.00
'2013 Dec 19',173.78,65.13,5350.00,5870.00
'2013 Dec 20',173.73,64.98,5500.00,5850.00
'2013 Dec 21',173.74,65.27,5700.00,5870.00
'2013 Dec 22',173.72,65.70,5700.00,5870.00
'2013 Dec 23',173.50,65.05,5450.00,5870.00
'2013 Dec 24',173.65,65.16,5300.00,5880.00
'2013 Dec 25',173.61,65.33,5300.00,5880.00
'2013 Dec 26',173.53,65.35,5200.00,5870.00
'2013 Dec 27',173.55,65.29,5200.00,5890.00
'2013 Dec 28',173.54,65.13,5200.00,5340.00
'2013 Dec 29',173.44,65.19,5100.00,5860.00
'2013 Dec 30',173.37,65.46,5200.00,5910.00
'2013 Dec 31',173.33,65.32,5100.00,5890.00
'2014 Jan 01',173.25,65.22,5000.00,6320.00
'2014 Jan 02',173.14,65.30,4850.00,6330.00
'2014 Jan 03',173.04,65.39,5000.00,6340.00
'2014 Jan 04',172.87,65.80,5000.00,7440.00
'2014 Jan 05',172.66,65.40,5100.00,7440.00
'2014 Jan 06',172.52,65.34,5200.00,7430.00
'2014 Jan 07',172.34,64.96,5000.00,7410.00
'2014 Jan 08',172.16,64.79,5100.00,7430.00
'2014 Jan 09',171.98,64.86,5100.00,7450.00
'2014 Jan 10',171.82,65.35,5000.00,7480.00
'2014 Jan 11',171.69,65.26,5100.00,7490.00
'2014 Jan 12',171.53,65.18,4900.00,7500.00
'2014 Jan 13',171.35,65.27,4700.00,7500.00
'2014 Jan 14',171.11,65.31,4900.00,7530.00
'2014 Jan 15',170.91,65.03,5000.00,7520.00
'2014 Jan 16',170.84,65.02,5500.00,7520.00
'2014 Jan 17',170.71,65.40,4900.00,7550.00
'2014 Jan 18',170.44,65.23,4700.00,7560.00
'2014 Jan 19',170.29,65.28,4700.00,7580.00
'2014 Jan 20',170.05,65.36,4700.00,7590.00
'2014 Jan 21',169.78,65.59,4700.00,7630.00
'2014 Jan 22',169.58,65.36,4700.00,7640.00
'2014 Jan 23',169.45,65.42,4600.00,7650.00
'2014 Jan 24',169.33,65.64,4500.00,7690.00
'2014 Jan 25',169.09,65.57,4400.00,7690.00
'2014 Jan 26',168.94,65.47,4200.00,7690.00
'2014 Jan 27',168.78,65.46,4200.00,7700.00
'2014 Jan 28',168.60,65.58,4200.00,7720.00
'2014 Jan 29',168.48,65.69,4400.00,7740.00
'2014 Jan 30',168.35,65.76,4100.00,7750.00
'2014 Jan 31',168.21,65.54,4100.00,7620.00
'2014 Feb 01',168.01,65.80,4300.00,7650.00
'2014 Feb 02',167.85,65.88,4200.00,7670.00
'2014 Feb 03',167.54,65.75,4100.00,7680.00
'2014 Feb 04',167.26,65.47,4000.00,7680.00
'2014 Feb 05',167.09,65.29,4000.00,7660.00
'2014 Feb 06',166.87,65.50,4000.00,7700.00
'2014 Feb 07',166.73,65.66,4000.00,7730.00
'2014 Feb 08',166.53,65.80,4100.00,6900.00
